Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lat,lon,DEM,Slope,Solar radiation
29.9,21.4,87.29823303,98.04239655,25.50511259,23.38660205,8.28057007,48.95731338,0.90544295,0.891630891,0.888276269,0.877177454,3.024389864,0.297152917,0.620939918,1.507671226,37.5776,126.938,75.0924,1.7678,5888.26709
29.4,22,92.21707153,99.99900818,24.90928915,22.69720776,10.67087989,-8.569042542,0.954241663,0.883441908,0.897699217,0.900587287,3.152587821,0.380337451,0.519654777,2.133892148,37.6181,127.004,146.554,4.7296,5926.908691
29.1,23.5,86.05225372,95.60681915,26.50621899,24.19235815,8.43425114,61.19183246,0.884496089,0.831760436,0.903119163,0.840863883,4.709644695,0.29690145,0.147942845,3.789352903,37.5507,127.04,26.298,0.5721,5853.975098
29.9,23.6,85.37835693,94.32325745,26.60003735,23.73245052,8.270661215,70.77874422,0.836416788,0.83713198,0.799516007,0.853427268,5.586193378,0.161451747,0.267027983,3.008058065,37.5102,127.086,21.9668,0.1332,5847.513184
29.8,23.2,88.56536865,97.52089691,25.81035099,23.71852436,8.74577115,62.42971818,0.894150294,0.859292749,0.851377259,0.862387998,2.03642318,0.168218752,0.670013614,1.29178365,37.5372,126.891,15.5876,0.1554,5846.012695
29.2,23.2,87.69626617,97.07951355,25.90899595,23.7453066,8.750855386,61.68219566,0.893847068,0.862680276,0.847488362,0.87196911,1.630497101,0.159042329,0.465904182,1.585804119,37.5237,126.909,17.2956,0.2223,5844.961914
30.4,23.4,84.12334442,95.39048767,26.46612851,24.11609496,8.528782646,58.98234129,0.885660125,0.816916618,0.843356998,0.871491859,4.197442879,0.17052693,0.257704215,2.931185869,37.5237,126.97,19.5844,0.2713,5849.743164
23.8,20.6,93.09183502,100.0001526,23.87787332,21.9943261,10.64542961,12.92802192,0.932563237,0.832159751,0.715485831,0.763773619,10.91944763,9.313743805,0.005966285,0.078868383,37.6046,126.991,212.335,2.785,5981.979492
26.8,23.1,81.71435547,99.21946716,25.99790694,23.25896766,10.84194762,36.53791738,0.903821124,0.781010088,0.623976416,0.701686014,11.92802143,8.33073562,0.005440813,0.061411784,37.6046,127.032,44.7624,0.5141,5858.019043
27.2,22.5,79.4380722,97.75582123,26.02744037,23.4613713,10.09516484,41.94954083,0.852657465,0.78544883,0.669853042,0.744286073,11.40694479,11.4024219,0.003455728,0.057842849,37.5776,127.058,33.3068,0.2661,5852.268066
27.3,22.3,84.34674072,98.84487915,25.77483457,23.32968088,10.44722319,66.99807127,0.872791767,0.813975723,0.669176967,0.808576368,5.955333084,5.31716629,0,0.101112944,37.5507,127.135,35.038,0.5055,5848.15625
27.3,23.3,83.48073578,98.93367767,25.39817836,22.96232255,10.51236004,56.30784766,0.846046949,0.780105907,0.671722694,0.815530548,5.91220658,4.008947811,0,0.067233874,37.5102,127.042,54.6384,0.1457,5862.382813
26.6,22.7,88.21375275,99.88331604,25.26107663,22.99569513,9.426812768,79.82169294,0.886557402,0.802277941,0.649538588,0.774793055,11.23323215,11.50260027,0,0.021981638,37.5776,126.838,12.37,0.0985,5837.890625
26.5,23,87.82826233,99.6909256,24.98003291,22.57449738,10.59509516,44.06899158,0.856229934,0.831786234,0.666028648,0.858483131,8.157637695,4.712339551,0,0.021282989,37.4697,126.91,52.518,1.5629,5852.468262
26.6,22.7,87.30330658,99.84403992,24.91605771,22.63206296,9.768013954,50.45460435,0.844793311,0.850033689,0.620355295,0.87089221,9.055081248,4.144070452,0,0.014260283,37.4967,126.826,50.9312,0.4125,5865.608398
25.2,22.7,90.28133392,99.84623718,24.09281472,21.76677654,12.31399743,23.29710553,0.858430013,0.832714784,0.695805931,0.883800728,6.373942172,4.129727367,0.008125698,0.035086177,37.4562,126.955,208.507,5.1782,5880.977539
27.2,23.1,80.84125519,98.29152679,25.85302088,23.32815985,9.956315974,56.15350159,0.850703862,0.815456024,0.674960973,0.809303988,6.208937605,4.416615514,0,0.079392646,37.5372,127.085,28.7,0.6233,5852.796875
25.6,20.9,83.3290329,99.69439697,24.92426471,22.58305078,10.05438171,38.11347387,0.897978264,0.783332648,0.697017773,0.799318756,10.78677849,9.100507318,0.000306106,0.052056598,37.5507,126.988,132.118,0.5931,5912.88623
27.6,22.9,78.83932495,97.14476776,25.87127436,23.34542825,9.740430613,46.46107336,0.889283544,0.802314438,0.647002128,0.778398867,9.252834519,11.34637756,0.000313617,0.058366523,37.5776,127.083,59.8324,2.6865,5849.480469
26.5,23,84.48712158,98.91345215,25.51954013,22.90116928,10.09405531,42.30388353,0.865741331,0.823873163,0.666973871,0.860562954,9.438113754,4.508493645,0,0.024016497,37.4967,126.927,30.968,0.618,5846.571777
26.7,22,82.44064331,99.00092316,25.74199889,23.14901242,9.257674098,40.25250675,0.886642464,0.801733588,0.706373978,0.817100937,9.247284263,9.528603158,0,0.030349369,37.5507,126.937,30.0464,0.8552,5855.466797
26.7,23,86.91093445,99.65870667,25.30679421,22.56979021,11.98888824,50.87935567,0.812768393,0.814045922,0.649729416,0.83436146,6.215536684,4.084523978,0.003820103,0.024076506,37.4697,126.995,82.2912,2.2579,5849.513184
27.5,22.3,81.25839233,99.08106232,26.03127873,23.17691294,9.535875857,56.29406138,0.923833132,0.793334792,0.672570596,0.765498707,11.38090747,8.576781015,4.41E-05,0.055429658,37.6181,127.099,53.4712,0.697,5861.010254
27.3,23.5,84.56089783,98.92157745,25.42111048,22.92729123,11.23014208,61.70731242,0.809919406,0.765586998,0.627424705,0.83849041,5.849297846,3.850222851,0,0.029294195,37.4832,127.024,56.4448,1.2313,5853.381836
26.2,22.7,97.48257446,99.99942017,24.68036242,22.57599718,12.4386632,-3.75393321,0.940159043,0.811632069,0.682369428,0.760739191,12.17717229,9.369441241,0.02006341,0.105110389,37.6181,127.004,146.554,4.7296,5921.158691
27.1,22.8,81.26751709,99.0511322,26.00113858,23.35291369,10.32334016,43.73484194,0.855084414,0.768089102,0.668490311,0.781978777,9.321128925,7.793471508,0,0.0681572,37.5507,127.04,26.298,0.5721,5848.048828
27.6,23.8,82.65930176,98.17333221,25.88077508,23.29721376,10.17700863,69.72483206,0.81437072,0.828351268,0.676288854,0.813091414,5.296226531,3.557506228,0,0.070358557,37.5102,127.086,21.9668,0.1332,5841.537598
26.9,22.9,85.1378479,99.80718231,25.52346049,23.06219682,9.379623592,58.56425548,0.874439731,0.813824058,0.673150174,0.841409783,9.249733349,7.588655961,0,0.027886124,37.5372,126.891,15.5876,0.1554,5840.055176
27.2,22.9,84.01688385,99.48313904,25.73692406,23.12932038,9.480917732,51.97931298,0.868074687,0.820316831,0.674675786,0.844663074,9.640484308,5.817205324,0,0.029079289,37.5237,126.909,17.2956,0.2223,5838.980469
27.2,23.1,81.98442078,98.42790222,25.90951598,23.18953026,9.844749769,41.40947082,0.863287744,0.796214299,0.677823081,0.825572757,9.311565002,5.152571335,0,0.04479865,37.5237,126.97,19.5844,0.2713,5843.812988
25,20.5,59.2595253,96.60015869,29.24540209,21.72137915,7.264672975,121.1726506,0.805899446,0.143504679,0.180661634,0.167791506,3.47490414,0,0,0,37.6046,126.991,212.335,2.785,5975.67627
28.2,21.8,50.03740311,89.69857025,31.81379388,23.32046668,6.826096078,74.90943189,0.776468404,0.102498937,0.204849663,0.151955928,3.276951273,0,0,0,37.6046,127.032,44.7624,0.5141,5851.499512
27.8,21.8,42.84383392,91.37974548,32.87124503,23.44561894,6.794839025,33.83694762,0.801601053,0.132542173,0.201936852,0.133436509,2.84654327,0,0,0,37.5776,127.058,33.3068,0.2661,5845.751465
28,22,62.64710999,98.56121063,30.55317068,22.42907782,7.249798079,146.4384874,0.722962691,0.076449562,0.180599576,0.179906459,3.82190146,0,0,0,37.645,127.022,45.716,2.5348,5839.094727
28.4,21.9,50.60429764,94.90841675,31.72821198,23.2132213,6.01046744,151.1696175,0.758595815,0.16361499,0.241582969,0.158033915,2.770007581,0.00324898,0,0,37.5507,127.135,35.038,0.5055,5841.578125
28.7,22.5,44.47005081,91.08335114,32.16840214,23.71415267,6.536401242,80.03518883,0.801185664,0.18722083,0.18159345,0.142165853,3.243224283,0.162863682,0,0,37.5102,127.042,54.6384,0.1457,5855.803223
27.4,22.3,60.94208145,94.59477234,29.39935822,22.84826533,5.607368588,150.6945047,0.699387763,0.092112799,0.198747555,0.197405674,3.955216865,0,0,0,37.5776,126.838,12.37,0.0985,5831.343262
26.8,22.9,48.85065079,94.45877075,31.4461493,21.92899254,6.346656193,89.96480139,0.754820842,0.125044834,0.148845768,0.218055251,5.973326643,0.154795488,0,0,37.4697,126.91,52.518,1.5629,5845.816895
27.8,22.3,57.38796616,95.67328644,29.6278191,21.80208576,6.221321394,136.0637162,0.726234137,0.110766862,0.180393689,0.200424294,8.293410917,0.002130334,0,0,37.4967,126.826,50.9312,0.4125,5859.089355
25.9,22.1,49.00390244,93.08049011,30.54453229,21.55813054,7.173682094,85.7605503,0.807735022,0.148524868,0.147487774,0.17667535,3.887632648,0.296977202,0,0,37.4562,126.955,208.507,5.1782,5873.69043
28.4,22.1,42.89172363,91.38083649,32.94104066,23.79323038,6.403671851,68.01900546,0.812135051,0.152227433,0.22254983,0.147220057,3.239095191,0.004330795,0,0,37.5372,127.085,28.7,0.6233,5846.328613
26.9,21.2,45.75176239,88.85625458,31.57094362,23.25413036,7.213367591,38.0345124,0.769865026,0.107410592,0.199473269,0.165191199,3.314426228,0.000681807,0,0,37.5507,126.988,132.118,0.5931,5906.28125
28.7,22,43.76903152,92.2084198,32.57319611,23.17580072,6.470117311,69.86449846,0.746611433,0.159544402,0.237721936,0.134749226,2.574207465,0,0,0,37.5776,127.083,59.8324,2.6865,5842.81543
27.5,22.4,44.66233444,90.23641968,32.00158615,22.78681036,6.520697633,47.22684066,0.74903752,0.136083848,0.163901991,0.188637914,4.866411455,0.127693176,0,0,37.4967,126.927,30.968,0.618,5840.003906
27.8,22.1,47.57870102,87.09291077,31.83739842,24.00846642,6.631783019,40.67633531,0.723561575,0.105087762,0.207147331,0.17282952,3.645418892,0,0,0,37.5507,126.937,30.0464,0.8552,5849.007324
28.1,22.3,48.11233139,92.69664001,31.4199393,23.19396172,6.680437773,107.7577016,0.792122129,0.201293835,0.158150481,0.150758284,4.73064065,0.438493967,0,0,37.4697,126.995,82.2912,2.2579,5842.662598
27.7,21.4,53.3414917,94.53699493,31.5207009,22.62096865,5.5407903,148.8852212,0.718440665,0.153280511,0.209388339,0.149952241,2.620043914,0,0,0,37.6181,127.099,53.4712,0.697,5854.449219
28.8,22.5,48.08717728,91.77364349,31.51241921,23.51378143,6.308038165,121.5706402,0.787383664,0.215031752,0.162820021,0.144509913,4.365539948,0.71666201,0,0,37.4832,127.024,56.4448,1.2313,5846.703125
27.5,21.7,63.12387085,99.09674835,29.6238288,21.85571276,7.602369229,124.9096218,0.812305539,0.136586979,0.194448543,0.17160529,3.511873881,0,0,0,37.6181,127.004,146.554,4.7296,5914.817383
27.7,22.3,42.16811752,90.25447845,33.03090136,23.72856378,6.926955909,30.50861134,0.808857862,0.123583594,0.183722436,0.135887809,3.207538423,0.003777661,0,0,37.5507,127.04,26.298,0.5721,5841.541016
28.4,22.5,46.45833588,90.69275665,32.04966835,23.65042707,6.271686832,114.4938529,0.78191511,0.168966861,0.181160485,0.154756325,2.521831123,0.225275636,0,0,37.5102,127.086,21.9668,0.1332,5834.976074
28,22.5,52.90447617,91.71296692,30.56737764,23.0349916,6.140319318,97.2224586,0.713911179,0.136837327,0.186431009,0.171078073,5.141811316,0,0,0,37.5372,126.891,15.5876,0.1554,5833.513672
28.4,22.4,49.16656494,91.00843811,31.23373686,22.99270392,6.406414141,70.87311467,0.727452147,0.150393252,0.184783785,0.179406304,5.440663647,0.017427495,0,0,37.5237,126.909,17.2956,0.2223,5832.412109
28.8,22.6,44.66736221,87.86649323,32.58160483,23.91112616,6.813546062,34.86169676,0.718042721,0.157955885,0.194834523,0.158920094,4.131160875,0.073438138,0,0,37.5237,126.97,19.5844,0.2713,5837.300781
28.6,21.8,51.21157837,88.45539856,29.61114498,22.43013561,6.393560628,118.6249297,0.089311248,0.131613109,0.12267053,0.014312944,0,0,0,0,37.6046,126.991,212.335,2.785,5968.809082
31.6,23.1,42.25659561,89.45802307,32.18920035,23.75130727,5.931411475,77.11645841,0.111018247,0.157992414,0.123315091,0.013518591,0,0,0,0,37.6046,127.032,44.7624,0.5141,5844.398438
31.4,23.7,35.28981781,85.17090607,33.37123732,24.27227498,6.150936609,16.71959131,0.113226859,0.164148704,0.124456539,0.013576236,0,0,0,0,37.5776,127.058,33.3068,0.2661,5838.654297
32.1,23.9,55.44750977,97.77411652,30.48540847,21.87187122,6.047039906,155.5861955,0.083287269,0.180527355,0.126248328,0.008902259,0,2.510287126,0.272687892,0,37.645,127.022,45.716,2.5348,5832.032227
31.5,23.5,41.34140015,91.86683655,32.18768477,23.18734506,4.778762807,150.5168258,0.112394056,0.128180513,0.135996414,0.018856913,0,0,0,0,37.5507,127.135,35.038,0.5055,5834.413086
31.6,23.8,38.70239639,81.50170136,32.60431835,24.38546641,6.043028096,70.01423883,0.127690846,0.13565387,0.119751726,0.028390912,0,0,0,0,37.5102,127.042,54.6384,0.1457,5848.636719
30.5,23.8,59.5652771,99.60027313,29.1435946,22.41351451,5.077086121,140.5860287,0.098195654,0.270388347,0.12499471,0.149330181,0,0,0,0,37.5776,126.838,12.37,0.0985,5824.211914
30.3,23.5,48.04045105,95.66415405,31.84886393,23.04467553,5.916631093,68.15927962,0.106897556,0.251593403,0.115612548,0.171999899,0,0,0,0,37.4697,126.91,52.518,1.5629,5838.573242
31.4,23.4,60.229702,96.34320831,29.32402371,21.76842791,5.320206881,113.97065,0.094833563,0.28013627,0.115404634,0.133736235,0,0,0,0,37.4967,126.826,50.9312,0.4125,5851.988281
28.9,22.2,48.33451843,91.95766449,30.76169891,22.85885079,5.944809983,77.30706412,0.113389669,0.178068036,0.124791388,0.096427593,0,0,0,0,37.4562,126.955,208.507,5.1782,5865.756348
31.7,23.3,35.32056808,82.12272644,33.40308778,24.32818273,5.629282286,61.89289403,0.129955571,0.128090308,0.128369604,0.017847628,0,0,0,0,37.5372,127.085,28.7,0.6233,5839.283691
32.7,24,35.72158432,86.52616119,33.07170322,23.88415023,5.628773014,61.86821119,0.108455353,0.145005695,0.126242516,0.012629532,0,0,0,0,37.5776,127.083,59.8324,2.6865,5835.557617
30.6,23.6,43.01872635,88.09088135,32.17403896,23.91951505,5.833681782,19.82649346,0.131146794,0.209037483,0.114193837,0.101479308,0,0,0,0,37.4967,126.927,30.968,0.618,5832.850098
30.9,23.5,41.83231354,88.64202118,32.86199899,24.21914563,6.020509799,22.20996871,0.100073315,0.168098105,0.124142099,0.073195186,0,0,0,0,37.5507,126.937,30.0464,0.8552,5841.97168
30.5,23.1,46.77836227,89.36634064,31.43558626,23.8267038,6.066811591,98.06395928,0.133802723,0.18270331,0.10875639,0.058901144,0,0,0,0,37.4697,126.995,82.2912,2.2579,5835.20166
31.4,23.1,43.8781662,94.45127106,31.8985868,22.20817749,5.04836527,152.6752064,0.083695872,0.123991991,0.122222122,0.010233685,0,0,0,0,37.6181,127.099,53.4712,0.697,5847.303223
32.1,23.4,43.72932053,88.19384003,31.73218566,23.64857282,5.938600779,116.7391336,0.1335349,0.16433198,0.111365901,0.039155622,0,0,0,0,37.4832,127.024,56.4448,1.2313,5839.429199
31.4,23.4,44.00179291,92.19329834,31.18192952,23.26032389,5.746277243,57.33305589,0.088603072,0.19820634,0.122823894,0.084743286,0,0,0,0,37.5776,126.938,75.0924,1.7678,5868.875
31.5,23.2,54.89983749,93.82743073,29.9469668,22.12915915,6.331020614,128.6549279,0.090170304,0.1105249,0.123950435,0.012843914,0,0,0,0,37.6181,127.004,146.554,4.7296,5907.943359
30.6,23.7,35.58403397,80.79875183,33.47236916,24.7580902,6.217384557,13.26072788,0.122993404,0.144816604,0.127428192,0.016683623,0,0,0,0,37.5507,127.04,26.298,0.5721,5834.452148
31.1,23.7,40.92075729,84.56755066,32.51357742,24.0488043,5.746288439,114.7162889,0.132282674,0.133971789,0.123408234,0.023411689,0,0,0,0,37.5102,127.086,21.9668,0.1332,5827.82959
32.5,24,51.77247238,93.89966583,30.91048632,23.52677078,5.390873909,85.97706056,0.114602124,0.221446325,0.127165555,0.096851805,0,0,0,0,37.5372,126.891,15.5876,0.1554,5826.388184
31.5,24,47.25712967,88.60089111,31.36122633,23.78290595,5.59740906,56.36949563,0.120939567,0.20193259,0.119952236,0.074767787,0,0,0,0,37.5237,126.909,17.2956,0.2223,5825.258301
31.4,24,37.75327301,79.09913635,33.37479,24.94802741,6.422679722,10.71121681,0.108548872,0.152142394,0.120696413,0.046154681,0,0,0,0,37.5237,126.97,19.5844,0.2713,5830.20752
29.2,20.7,57.57914734,88.73460388,31.51035036,22.63667837,7.364127159,112.5703837,0.004956077,0.00269675,0.148288437,0.399157243,0,0,0.006238037,0.000979227,37.6046,126.991,212.335,2.785,5961.377441
32.3,21.6,48.61689758,84.06895447,34.04511707,24.24433017,6.390582472,80.08412802,0.001870931,0.002380846,0.28321416,0.393328581,0,0,10.03050486,0.620910995,37.6046,127.032,44.7624,0.5141,5836.714844
32.8,23.6,41.94719696,83.35771179,35.35810576,24.19051545,6.333125591,98.7554903,0.00440834,0.007162159,0.299852026,0.394632395,0,0,6.960799709,0.647867697,37.5776,127.058,33.3068,0.2661,5830.974609
33,23,58.47570801,96.07393646,32.11719968,21.59633557,6.040746212,140.1461323,6.72E-05,0.000605531,0.133089091,0.378733654,0,0,0.728210608,1.087771847,37.645,127.022,45.716,2.5348,5824.259766
32.6,23.1,52.06695175,90.32286072,32.38088384,23.72595968,6.01290522,136.8891663,0.003759589,0.003857852,0.241485229,0.444043445,0,0,0.115633337,1.230876714,37.5507,127.135,35.038,0.5055,5826.661133
33.2,24.2,45.95996857,87.19961548,33.51152956,24.63898342,6.195672999,103.9959637,0.012257973,0.009616553,0.219452393,0.348611019,0,0,0.68734766,2.419554118,37.5102,127.042,54.6384,0.1457,5840.882813
32.7,23.6,60.31203842,89.6845932,30.35093305,24.48993513,6.005086998,156.7998605,0.010438541,0.021593527,0.148565352,0.30096748,0,0,0,0.001275765,37.5776,126.838,12.37,0.0985,5816.495605
33.1,23.8,51.11063004,91.42495728,32.38007084,24.42368246,6.379867464,81.43564404,0.015195345,0.021049891,0.141695957,0.334478194,0,0,0,0.572572907,37.4697,126.91,52.518,1.5629,5830.73584
32.1,23.1,59.08095551,90.49770355,31.11654871,23.3301006,6.046639283,115.5002287,0.012538162,0.03130522,0.209762809,0.289891639,0,0,0,0,37.4967,126.826,50.9312,0.4125,5844.305176
30.9,20.9,51.66098404,88.53798676,30.78169727,23.71868065,6.995393485,78.60640411,0.017363718,0.021071864,0.232130943,0.38267891,0,0,1.097418611,0.32637916,37.4562,126.955,208.507,5.1782,5857.175781
32.9,23.6,46.13800049,86.33937836,33.73714795,24.50122366,5.783067395,88.9490091,0.012621487,0.00695919,0.27030833,0.322552109,0,0,0.913639496,0.369057054,37.5372,127.085,28.7,0.6233,5831.660156
32.6,21.8,44.46308517,80.66036987,34.11129319,24.13220357,7.100600233,70.93050273,0.007875817,0.008068087,0.196511412,0.334724227,0,0,3.208432468,0.020454211,37.5507,126.988,132.118,0.5931,5891.303711
33.1,24,46.12843704,85.07067871,34.37897166,23.83577208,6.259194096,115.0261803,0.002391595,0.002822716,0.430348081,0.333542567,0,0,14.11042879,0.268447408,37.5776,127.083,59.8324,2.6865,5827.705078
31.6,23.6,42.47459793,88.44309235,33.90747323,25.43438461,6.900923411,36.10488351,0.014932238,0.018506367,0.200186344,0.414419201,0,0,0.045348888,0.1337895,37.4967,126.927,30.968,0.618,5825.110352
